id,customer_id,product_id,batch_id
8841,maya,lg2,B7
o0,c0,lg2,B7
o1,c1,lg2,B7
o2,c2,lg2,B7
o3,c3,lg2,B7
o4,c4,lg2,B7
o5,c5,lg2,B7
o6,c6,lg2,B7
o7,c7,lg2,B7
o8,c8,lg2,B7
o9,c9,lg2,B7
o10,c10,lg2,B7
o11,c11,lg2,B7
o12,c12,lg2,B7
o13,c13,lg2,B7
o14,c14,lg2,B7
o15,c15,lg2,B7
o16,c16,lg2,B7
o17,c17,lg2,B7
o18,c18,lg2,B7
o19,c19,lg2,B7
o20,c20,lg2,B7
o21,c21,lg2,B7
o22,c22,lg2,B7
o23,c23,lg2,B7
o24,c24,lg2,B7
o25,c25,lg2,B7
o26,c26,lg2,B7
o27,c27,lg2,B7
o28,c28,lg2,B7
o29,c29,lg2,B7
o30,c30,lg2,B7
o31,c31,lg2,B7
o32,c32,lg2,B7
o33,c33,lg2,B7
o34,c34,lg2,B7
o35,c35,lg2,B7
o36,c36,lg2,B7
o90,c90,lg1,A2
o91,c91,halo,
o92,c92,lg1,A2
