id,order_id,text
T0,o0,"flicker after firmware 2.0, base cracks near the seam"
T1,o1,"flicker after firmware 2.0, base cracks near the seam"
T2,o2,"flicker after firmware 2.0, base cracks near the seam"
T3,o3,"flicker after firmware 2.0, base cracks near the seam"
T4,o4,"flicker after firmware 2.0, base cracks near the seam"
T5,o5,"flicker after firmware 2.0, base cracks near the seam"
T6,o6,"flicker after firmware 2.0, base cracks near the seam"
T7,o7,"flicker after firmware 2.0, base cracks near the seam"
T8,o8,"flicker after firmware 2.0, base cracks near the seam"
T9,o9,"flicker after firmware 2.0, base cracks near the seam"
T10,o10,"flicker after firmware 2.0, base cracks near the seam"
T11,o11,"flicker after firmware 2.0, base cracks near the seam"
T12,o12,"flicker after firmware 2.0, base cracks near the seam"
T13,o13,"flicker after firmware 2.0, base cracks near the seam"
T14,o14,"flicker after firmware 2.0, base cracks near the seam"
T15,o15,"flicker after firmware 2.0, base cracks near the seam"
T16,o16,"flicker after firmware 2.0, base cracks near the seam"
T17,o17,"flicker after firmware 2.0, base cracks near the seam"
T18,o18,"flicker after firmware 2.0, base cracks near the seam"
T19,o19,"flicker after firmware 2.0, base cracks near the seam"
T20,o20,"flicker after firmware 2.0, base cracks near the seam"
T21,o21,"flicker after firmware 2.0, base cracks near the seam"
T22,o22,"flicker after firmware 2.0, base cracks near the seam"
T23,o23,"flicker after firmware 2.0, base cracks near the seam"
T24,o24,"flicker after firmware 2.0, base cracks near the seam"
T25,o25,"flicker after firmware 2.0, base cracks near the seam"
T26,o26,"flicker after firmware 2.0, base cracks near the seam"
T27,o27,"flicker after firmware 2.0, base cracks near the seam"
T28,o28,"flicker after firmware 2.0, base cracks near the seam"
T29,o29,"flicker after firmware 2.0, base cracks near the seam"
T30,o30,"flicker after firmware 2.0, base cracks near the seam"
T31,o31,"flicker after firmware 2.0, base cracks near the seam"
T32,o32,"flicker after firmware 2.0, base cracks near the seam"
T33,o33,"flicker after firmware 2.0, base cracks near the seam"
T34,o34,"flicker after firmware 2.0, base cracks near the seam"
T35,o35,"flicker after firmware 2.0, base cracks near the seam"
T36,o36,"flicker after firmware 2.0, base cracks near the seam"
T90,o90,my lamp flickers sometimes in the evening
T91,o91,my lamp flickers sometimes in the evening
T92,o92,my lamp flickers sometimes in the evening
